trip_id,date,start_time,end_time,duration_min,distance_miles,start_lat,start_lng,end_lat,end_lng,label,notes,is_business,start_address,end_address
T202512-001,2025-12-01,08:14,08:27,13,5.80,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-002,2025-12-01,08:31,09:09,38,15.26,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-003,2025-12-03,09:34,09:55,21,8.89,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-004,2025-12-03,08:04,08:17,13,4.77,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-005,2025-12-05,09:17,09:30,13,5.51,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-006,2025-12-05,09:31,10:34,63,25.80,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-007,2025-12-06,08:35,08:45,10,4.58,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-008,2025-12-06,08:20,09:24,64,26.41,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-009,2025-12-09,08:13,08:34,21,8.56,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-010,2025-12-10,09:48,10:42,54,22.67,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-011,2025-12-12,08:58,09:23,25,11.17,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-012,2025-12-12,08:48,09:08,20,8.42,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-013,2025-12-13,09:19,10:15,56,23.46,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-014,2025-12-13,09:30,09:48,18,6.77,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-015,2025-12-15,08:10,08:49,39,16.84,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-016,2025-12-16,08:35,09:43,68,28.55,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-017,2025-12-17,08:20,09:17,57,23.52,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-018,2025-12-18,08:34,08:53,19,8.09,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-019,2025-12-18,08:21,09:02,41,16.54,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-020,2025-12-19,08:34,09:12,38,16.13,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-021,2025-12-23,08:51,09:35,44,17.64,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-022,2025-12-24,09:52,10:42,50,20.37,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-023,2025-12-24,09:03,10:03,60,25.62,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-024,2025-12-25,08:58,09:26,28,11.29,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-025,2025-12-25,08:31,09:14,43,18.31,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-026,2025-12-26,09:54,10:55,61,25.20,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-027,2025-12-28,09:03,09:24,21,9.16,40.7608,-111.891,40.7,-111.94,Business,,1,,
T202512-028,2025-12-28,09:50,10:14,24,9.44,40.7608,-111.891,40.7,-111.94,Business,,1,,
